GSM,ThreadDensity,TensileStrength,Shrinkage,AirPermeability,Thickness,Quality
280.0,52.0,943.0,3.05,248.0,0.36,Medium
347.0,177.0,440.0,1.82,683.0,0.31,High
112.0,135.0,554.0,0.86,591.0,0.76,Low
127.0,96.0,969.0,7.14,325.0,0.11,Medium
141.0,125.0,960.0,1.96,685.0,0.59,Medium
295.0,87.0,788.0,6.9,268.0,0.81,Medium
215.0,190.0,379.0,3.9,251.0,0.34,Medium
251.0,136.0,265.0,4.16,323.0,0.64,Medium
293.0,107.0,547.0,4.69,603.0,0.7,Medium
114.0,99.0,370.0,3.68,649.0,0.69,Low
306.0,79.0,673.0,1.01,143.0,0.5,Medium
180.0,150.0,733.0,3.1,796.0,0.41,Medium
210.0,74.0,566.0,6.64,603.0,0.85,Low
336.0,126.0,306.0,6.66,340.0,0.78,Medium
84.0,175.0,638.0,2.86,450.0,0.39,Low
297.0,126.0,426.0,4.6,122.0,0.19,Medium
334.0,96.0,643.0,1.93,735.0,0.16,High
286.0,167.0,641.0,2.1,697.0,0.18,High
94.0,88.0,595.0,4.71,142.0,0.62,Low
121.0,65.0,927.0,8.97,565.0,0.15,Low
258.0,71.0,780.0,2.11,139.0,0.4,Medium
310.0,198.0,814.0,2.8,780.0,0.36,High
320.0,65.0,750.0,1.27,274.0,0.79,Medium
131.0,108.0,212.0,6.39,631.0,0.77,Low
215.0,126.0,892.0,0.75,560.0,0.32,Medium
301.0,81.0,692.0,1.34,720.0,0.76,Medium
310.0,58.0,467.0,6.45,292.0,0.77,Medium
316.0,188.0,724.0,3.4,343.0,0.46,High
222.0,59.0,319.0,7.08,379.0,0.29,Low
250.0,66.0,552.0,5.57,135.0,0.57,Medium
108.0,117.0,256.0,2.56,656.0,0.93,Low
115.0,97.0,239.0,6.51,639.0,0.68,Low
92.0,160.0,535.0,1.16,253.0,0.26,Low
266.0,198.0,372.0,4.37,190.0,0.48,Medium
322.0,150.0,746.0,2.68,489.0,0.63,High
165.0,151.0,458.0,6.04,458.0,0.76,Low
145.0,114.0,716.0,8.71,649.0,0.56,Low
249.0,100.0,929.0,9.99,327.0,0.83,Medium
124.0,85.0,609.0,6.08,301.0,0.75,Low
141.0,130.0,316.0,4.05,449.0,0.65,Low
213.0,176.0,383.0,2.25,137.0,0.24,Medium
187.0,153.0,361.0,4.79,798.0,0.94,Low
123.0,64.0,778.0,3.67,142.0,0.22,Low
207.0,145.0,911.0,9.14,725.0,0.54,Medium
269.0,50.0,786.0,3.73,167.0,0.78,Medium
304.0,171.0,436.0,3.84,222.0,0.75,Medium
200.0,175.0,265.0,4.71,784.0,0.23,Low
195.0,106.0,269.0,6.51,435.0,0.89,Low
312.0,130.0,646.0,6.14,252.0,0.26,Medium
338.0,122.0,615.0,3.34,768.0,0.82,High
277.0,190.0,731.0,8.18,261.0,0.51,Medium
216.0,119.0,640.0,0.38,313.0,0.4,Medium
244.0,55.0,609.0,8.71,475.0,0.24,Medium
304.0,133.0,663.0,5.13,542.0,0.25,Medium
313.0,101.0,595.0,3.98,522.0,0.7,Medium
215.0,52.0,910.0,4.97,637.0,0.6,Medium
231.0,126.0,750.0,4.71,733.0,0.21,Medium
239.0,112.0,856.0,0.13,329.0,0.2,Medium
175.0,98.0,756.0,8.72,158.0,0.17,Low
312.0,125.0,594.0,4.47,195.0,0.77,Medium
192.0,158.0,290.0,1.38,453.0,0.15,Medium
131.0,114.0,949.0,4.39,411.0,0.6,Medium
347.0,130.0,269.0,4.96,235.0,0.18,Medium
192.0,64.0,365.0,4.04,572.0,0.91,Low
180.0,149.0,841.0,6.79,731.0,0.92,Medium
160.0,145.0,800.0,9.61,636.0,0.93,Medium
266.0,177.0,534.0,5.99,245.0,0.83,Medium
192.0,195.0,963.0,8.07,623.0,0.85,Medium
81.0,162.0,568.0,1.09,186.0,0.61,Low
209.0,132.0,783.0,3.97,208.0,0.38,Medium
299.0,92.0,876.0,3.37,522.0,0.3,High
133.0,165.0,248.0,5.69,444.0,0.39,Low
303.0,127.0,251.0,8.61,365.0,0.67,Medium
304.0,107.0,488.0,0.78,685.0,0.26,Medium
205.0,82.0,989.0,0.73,593.0,0.33,Medium
209.0,63.0,825.0,8.5,432.0,0.52,Medium
132.0,181.0,438.0,2.13,512.0,0.31,Low
251.0,108.0,332.0,6.69,713.0,0.63,Low
297.0,132.0,985.0,5.43,748.0,0.93,High
239.0,183.0,365.0,8.33,290.0,0.77,Medium
277.0,170.0,609.0,1.25,241.0,0.7,Medium
326.0,132.0,572.0,1.3,172.0,0.62,High
282.0,76.0,677.0,5.57,266.0,0.54,Medium
263.0,129.0,954.0,9.46,267.0,0.27,Medium
202.0,183.0,678.0,4.15,665.0,0.91,Medium
334.0,62.0,849.0,3.27,358.0,0.32,High
177.0,126.0,790.0,6.07,538.0,0.18,Medium
277.0,196.0,609.0,9.3,210.0,0.78,High
319.0,129.0,834.0,8.37,772.0,0.26,High
223.0,172.0,887.0,9.95,630.0,0.43,Medium
176.0,92.0,499.0,0.23,389.0,0.13,Low
280.0,138.0,281.0,1.13,661.0,0.22,Medium
203.0,197.0,286.0,6.09,609.0,0.26,Medium
338.0,51.0,215.0,2.85,401.0,0.69,Medium
227.0,169.0,557.0,2.39,795.0,0.85,Medium
331.0,71.0,362.0,7.87,284.0,0.44,Medium
226.0,164.0,809.0,0.56,438.0,0.89,High
227.0,106.0,867.0,3.69,609.0,0.29,Medium
278.0,126.0,713.0,5.06,409.0,0.39,Medium
207.0,56.0,549.0,5.6,606.0,0.24,Low
215.0,168.0,880.0,7.29,445.0,0.66,Medium
208.0,126.0,663.0,3.55,180.0,0.48,Medium
346.0,65.0,574.0,6.13,473.0,0.65,Medium
230.0,132.0,291.0,5.85,255.0,0.79,Low
178.0,121.0,380.0,5.48,531.0,0.59,Low
342.0,173.0,942.0,6.4,599.0,0.66,High
331.0,162.0,500.0,2.59,246.0,0.94,High
223.0,61.0,859.0,0.85,580.0,0.37,Medium
191.0,175.0,991.0,1.19,534.0,0.42,High
139.0,102.0,388.0,2.25,618.0,0.75,Low
215.0,124.0,513.0,5.0,768.0,0.65,Low
333.0,182.0,692.0,8.4,782.0,0.26,High
219.0,76.0,327.0,7.01,168.0,0.44,Low
116.0,189.0,718.0,7.89,705.0,0.52,Medium
239.0,194.0,625.0,3.51,285.0,0.48,Medium
88.0,183.0,758.0,4.05,781.0,0.26,Medium
312.0,146.0,764.0,3.94,303.0,0.93,High
178.0,54.0,386.0,1.92,653.0,0.79,Low
226.0,106.0,749.0,0.61,112.0,0.53,Medium
287.0,127.0,652.0,4.71,765.0,0.71,Medium
210.0,118.0,670.0,9.89,373.0,0.91,Medium
231.0,167.0,937.0,1.67,397.0,0.22,High
133.0,169.0,764.0,0.47,150.0,0.33,Medium
199.0,108.0,423.0,7.8,599.0,0.59,Low
240.0,82.0,353.0,2.53,468.0,0.82,Low
195.0,111.0,759.0,8.3,755.0,0.13,Medium
154.0,99.0,550.0,7.04,456.0,0.99,Low
192.0,161.0,346.0,9.46,102.0,0.51,Low
183.0,68.0,775.0,4.09,353.0,0.42,Medium
333.0,172.0,548.0,6.62,574.0,0.36,High
191.0,82.0,836.0,6.31,355.0,0.81,Medium
178.0,190.0,378.0,4.5,709.0,0.96,Medium
232.0,133.0,238.0,1.89,784.0,0.47,Medium
273.0,184.0,971.0,5.08,249.0,0.96,High
242.0,128.0,202.0,5.29,587.0,0.84,Low
287.0,63.0,263.0,8.11,378.0,0.53,Low
248.0,196.0,228.0,7.36,158.0,0.71,Medium
240.0,177.0,571.0,6.64,545.0,0.49,Medium
147.0,103.0,609.0,1.13,212.0,0.6,Medium
214.0,197.0,296.0,7.21,668.0,0.15,Medium
274.0,78.0,641.0,5.0,588.0,0.73,Medium
207.0,73.0,402.0,8.94,506.0,0.15,Low
112.0,131.0,610.0,4.71,466.0,0.84,Low
255.0,112.0,220.0,0.55,159.0,0.84,Medium
101.0,154.0,750.0,8.21,428.0,0.31,Low
317.0,126.0,934.0,0.38,568.0,0.39,High
237.0,185.0,301.0,3.67,666.0,0.53,Medium
117.0,126.0,245.0,5.42,162.0,0.64,Low
309.0,66.0,265.0,1.48,283.0,0.36,Medium
130.0,115.0,802.0,7.46,410.0,0.63,Low
343.0,55.0,363.0,0.08,637.0,0.37,Medium
106.0,107.0,310.0,1.69,276.0,0.15,Low
305.0,118.0,537.0,5.81,674.0,0.1,Medium
176.0,111.0,322.0,7.14,528.0,0.19,Low
226.0,131.0,904.0,9.17,172.0,0.81,Medium
83.0,120.0,646.0,7.05,266.0,0.97,Low
114.0,180.0,810.0,6.72,324.0,0.48,Medium
271.0,59.0,490.0,3.94,676.0,0.56,Medium
128.0,147.0,870.0,0.01,680.0,0.23,Medium
96.0,138.0,611.0,1.2,108.0,0.6,Low
251.0,84.0,814.0,5.35,335.0,0.23,Medium
299.0,51.0,480.0,6.75,784.0,0.65,Medium
237.0,173.0,242.0,4.17,127.0,0.94,Medium
125.0,73.0,685.0,7.31,745.0,0.28,Low
85.0,123.0,795.0,4.71,126.0,0.79,Low
178.0,71.0,902.0,0.74,649.0,0.12,Medium
312.0,88.0,250.0,1.92,295.0,0.44,Medium
116.0,69.0,409.0,8.4,302.0,0.2,Low
260.0,90.0,325.0,7.25,184.0,0.42,Low
174.0,197.0,691.0,8.95,129.0,0.26,Medium
178.0,157.0,708.0,1.18,565.0,0.44,Medium
267.0,196.0,780.0,9.9,198.0,0.48,Medium
195.0,133.0,976.0,2.09,289.0,0.37,Medium
270.0,160.0,457.0,0.12,111.0,0.69,Medium
332.0,115.0,387.0,9.97,702.0,0.93,Medium
240.0,102.0,429.0,2.81,129.0,0.46,Medium
335.0,83.0,388.0,6.68,137.0,0.27,Medium
207.0,199.0,614.0,1.77,671.0,0.34,Medium
97.0,116.0,209.0,5.8,393.0,0.87,Low
302.0,183.0,313.0,9.04,459.0,0.61,Medium
133.0,76.0,275.0,3.2,754.0,0.51,Low
137.0,59.0,875.0,6.7,279.0,0.23,Low
253.0,122.0,701.0,1.88,211.0,0.5,Medium
193.0,145.0,284.0,6.25,543.0,0.35,Low
230.0,97.0,248.0,3.36,120.0,0.95,Low
206.0,119.0,694.0,2.11,244.0,0.9,Medium
234.0,149.0,888.0,3.13,598.0,0.18,High
325.0,51.0,588.0,9.02,540.0,0.3,Medium
255.0,114.0,417.0,3.97,520.0,0.47,Medium
118.0,132.0,900.0,2.45,415.0,0.89,Medium
249.0,59.0,545.0,4.71,265.0,0.57,Medium
326.0,102.0,429.0,3.21,751.0,0.4,Medium
105.0,128.0,454.0,7.44,302.0,0.29,Low
92.0,108.0,435.0,9.71,595.0,0.82,Low
115.0,199.0,225.0,4.38,724.0,0.66,Low
215.0,97.0,783.0,8.61,567.0,0.52,Medium
99.0,198.0,460.0,5.66,484.0,0.3,Low
343.0,172.0,965.0,1.57,413.0,0.4,High
221.0,71.0,470.0,6.91,354.0,0.96,Low
222.0,149.0,322.0,5.13,122.0,0.57,Low
171.0,147.0,855.0,6.51,438.0,0.46,Medium
294.0,74.0,456.0,8.9,592.0,0.57,Medium
130.0,77.0,855.0,4.4,610.0,0.8,Low
232.0,162.0,620.0,9.01,465.0,0.41,Medium
265.0,94.0,458.0,7.51,471.0,0.26,Medium
142.0,117.0,246.0,4.89,698.0,0.63,Low
269.0,56.0,724.0,6.03,318.0,0.7,Medium
204.0,98.0,407.0,3.26,574.0,0.74,Low
229.0,186.0,510.0,9.84,522.0,0.89,Medium
137.0,132.0,946.0,6.67,455.0,0.43,Medium
215.0,178.0,348.0,0.44,559.0,0.17,Medium
249.0,187.0,637.0,3.27,602.0,0.96,Medium
133.0,122.0,609.0,6.23,126.0,0.49,Low
180.0,95.0,877.0,0.56,322.0,0.66,Medium
343.0,155.0,289.0,0.24,789.0,0.7,Medium
132.0,81.0,897.0,4.5,247.0,0.59,Medium
139.0,126.0,557.0,3.33,523.0,0.28,Low
187.0,194.0,373.0,4.71,450.0,0.78,Medium
84.0,123.0,416.0,2.63,285.0,0.82,Low
182.0,163.0,655.0,1.65,514.0,0.6,Medium
275.0,76.0,975.0,6.89,528.0,0.54,Medium
341.0,103.0,808.0,5.15,140.0,0.2,High
126.0,134.0,828.0,2.0,492.0,0.18,Medium
223.0,176.0,398.0,3.2,178.0,0.41,Medium
348.0,160.0,685.0,5.92,643.0,0.38,High
203.0,64.0,732.0,0.72,549.0,0.96,Medium
185.0,181.0,399.0,1.47,573.0,0.81,Medium
237.0,142.0,570.0,0.73,241.0,0.69,Medium
226.0,172.0,647.0,4.71,350.0,0.57,Medium
224.0,122.0,447.0,7.52,393.0,0.25,Low
199.0,196.0,987.0,7.53,709.0,0.98,Medium
171.0,126.0,463.0,7.16,235.0,0.44,Low
137.0,66.0,257.0,6.69,583.0,0.2,Low
308.0,92.0,501.0,4.77,411.0,0.54,Medium
196.0,126.0,230.0,6.42,654.0,0.89,Low
206.0,90.0,697.0,0.38,731.0,0.9,Medium
215.0,88.0,448.0,6.21,145.0,0.11,Low
215.0,162.0,804.0,7.78,335.0,0.9,Medium
201.0,160.0,976.0,5.0,147.0,0.34,Medium
80.0,96.0,470.0,3.58,297.0,0.14,Low
318.0,112.0,805.0,2.77,183.0,0.86,High
175.0,159.0,865.0,6.43,642.0,0.88,Medium
197.0,92.0,996.0,8.71,527.0,0.62,Medium
127.0,83.0,701.0,3.42,170.0,0.83,Low
316.0,110.0,283.0,5.61,151.0,0.9,Medium
268.0,111.0,564.0,8.83,144.0,0.6,Medium
271.0,107.0,748.0,5.28,392.0,0.97,Medium
148.0,124.0,541.0,5.18,564.0,1.0,Low
326.0,65.0,606.0,5.78,649.0,0.2,Medium
233.0,143.0,943.0,9.65,577.0,0.55,Medium
223.0,97.0,292.0,0.74,361.0,0.45,Low
165.0,187.0,813.0,0.53,679.0,0.65,Medium
264.0,131.0,611.0,9.38,278.0,0.15,Medium
299.0,87.0,631.0,5.3,456.0,0.56,Medium
148.0,176.0,877.0,6.15,518.0,0.88,Medium
126.0,68.0,358.0,4.82,797.0,0.29,Low
173.0,112.0,213.0,0.94,300.0,0.48,Low
317.0,126.0,572.0,7.68,112.0,0.95,Medium
283.0,180.0,609.0,7.47,542.0,0.49,Medium
297.0,151.0,704.0,3.12,385.0,0.42,High
118.0,114.0,272.0,3.06,357.0,0.5,Low
179.0,169.0,448.0,8.38,669.0,0.57,Low
333.0,140.0,609.0,0.72,647.0,0.67,High
301.0,57.0,802.0,8.81,589.0,0.82,Medium
102.0,122.0,415.0,2.57,597.0,0.51,Low
329.0,183.0,801.0,5.93,432.0,0.84,High
89.0,156.0,740.0,9.36,661.0,0.58,Low
325.0,138.0,419.0,6.78,131.0,0.4,Medium
179.0,88.0,926.0,4.14,709.0,0.69,Medium
259.0,162.0,420.0,6.9,142.0,0.75,Medium
302.0,77.0,588.0,3.44,450.0,0.6,Medium
329.0,146.0,753.0,2.77,433.0,0.15,High
226.0,86.0,846.0,9.97,658.0,0.25,Medium
175.0,186.0,241.0,7.51,369.0,0.36,Low
336.0,131.0,875.0,6.45,512.0,0.35,High
83.0,105.0,482.0,3.55,674.0,0.71,Low
95.0,134.0,257.0,0.49,118.0,0.12,Low
326.0,51.0,736.0,0.31,446.0,0.78,Medium
337.0,107.0,272.0,5.54,712.0,0.34,Medium
239.0,156.0,328.0,7.62,136.0,0.38,Medium
231.0,172.0,798.0,5.37,718.0,0.58,Medium
257.0,163.0,625.0,8.41,191.0,0.29,Medium
242.0,156.0,864.0,0.33,284.0,0.9,High
112.0,86.0,893.0,3.67,127.0,0.18,Low
258.0,128.0,324.0,2.37,647.0,0.5,Medium
180.0,141.0,266.0,4.47,471.0,0.86,Low
347.0,67.0,205.0,0.72,629.0,0.65,Medium
144.0,147.0,836.0,9.54,444.0,0.36,Medium
247.0,112.0,513.0,2.23,518.0,0.48,Medium
122.0,199.0,525.0,9.22,295.0,0.74,Low
215.0,188.0,764.0,4.26,177.0,0.98,Medium
91.0,53.0,777.0,9.86,266.0,0.9,Low
174.0,184.0,705.0,5.54,189.0,0.41,Medium
332.0,110.0,281.0,9.31,363.0,1.0,Medium
321.0,156.0,798.0,0.05,571.0,0.1,High
114.0,103.0,201.0,7.48,307.0,0.12,Low
294.0,137.0,403.0,9.03,370.0,0.84,Medium
169.0,117.0,861.0,1.4,362.0,0.28,Medium
343.0,178.0,603.0,0.96,605.0,0.15,High
169.0,52.0,735.0,9.34,675.0,0.48,Low
194.0,170.0,567.0,5.42,623.0,0.76,Medium
184.0,178.0,411.0,5.27,411.0,0.66,Medium
275.0,151.0,776.0,1.41,273.0,0.31,High
193.0,87.0,408.0,0.01,530.0,0.55,Low
154.0,134.0,962.0,8.1,562.0,0.93,Medium
328.0,141.0,827.0,6.34,115.0,0.39,High
243.0,70.0,948.0,9.15,357.0,0.98,Medium
271.0,158.0,677.0,2.09,343.0,0.74,Medium
306.0,96.0,304.0,6.65,447.0,0.16,Medium
256.0,133.0,694.0,0.79,348.0,0.13,Medium
178.0,132.0,970.0,6.04,204.0,0.25,Medium
115.0,84.0,245.0,1.64,793.0,0.76,Low
215.0,118.0,530.0,7.36,766.0,0.27,Low
231.0,178.0,415.0,3.01,386.0,0.56,Medium
230.0,189.0,691.0,4.63,268.0,0.18,Medium
303.0,105.0,735.0,1.71,146.0,0.41,High
116.0,72.0,710.0,7.42,142.0,0.92,Low
347.0,70.0,657.0,3.03,420.0,0.95,Medium
262.0,110.0,746.0,6.62,320.0,0.11,Medium
92.0,112.0,735.0,4.71,612.0,0.52,Low
296.0,171.0,739.0,6.88,540.0,0.12,High
141.0,101.0,683.0,1.28,243.0,0.92,Medium
163.0,137.0,215.0,4.25,127.0,0.57,Low
296.0,104.0,770.0,2.47,652.0,0.17,Medium
266.0,95.0,442.0,7.48,758.0,0.2,Medium
98.0,81.0,406.0,2.62,789.0,0.45,Low
256.0,104.0,470.0,8.82,266.0,0.95,Low
179.0,145.0,960.0,8.92,734.0,0.72,Medium
312.0,182.0,978.0,4.71,685.0,0.88,High
155.0,85.0,904.0,6.14,348.0,0.43,Medium
285.0,155.0,314.0,3.92,210.0,0.98,Medium
302.0,107.0,779.0,7.13,791.0,0.12,Medium
131.0,88.0,498.0,6.59,799.0,0.95,Low
223.0,129.0,682.0,6.25,333.0,0.43,Medium
148.0,146.0,596.0,2.83,123.0,0.11,Medium
178.0,162.0,593.0,3.78,125.0,0.72,Medium
104.0,110.0,274.0,1.03,480.0,0.98,Low
132.0,186.0,681.0,7.19,445.0,0.97,Medium
230.0,55.0,302.0,5.04,477.0,0.24,Low
223.0,158.0,496.0,7.09,621.0,0.26,Medium
136.0,84.0,377.0,2.49,116.0,0.61,Low
118.0,88.0,414.0,3.24,344.0,0.67,Low
188.0,199.0,514.0,3.34,723.0,0.77,Medium
260.0,167.0,238.0,0.26,638.0,0.26,Medium
121.0,126.0,458.0,3.41,682.0,0.96,Low
265.0,136.0,915.0,8.03,787.0,0.67,Medium
302.0,125.0,824.0,8.97,301.0,0.86,Low
201.0,106.0,248.0,5.18,347.0,0.59,Low
212.0,176.0,737.0,4.56,217.0,0.47,Medium
242.0,78.0,360.0,0.31,108.0,0.98,Medium
294.0,136.0,375.0,8.79,697.0,0.62,Medium
300.0,190.0,790.0,0.13,122.0,0.88,High
314.0,95.0,201.0,9.45,339.0,0.96,Low
225.0,165.0,654.0,4.89,684.0,0.71,Medium
318.0,161.0,843.0,3.42,126.0,0.59,High
155.0,94.0,475.0,9.24,180.0,0.1,Low
88.0,194.0,697.0,0.24,695.0,0.14,Medium
153.0,153.0,828.0,5.81,298.0,0.28,Medium
309.0,183.0,999.0,2.19,191.0,0.33,High
86.0,157.0,227.0,4.29,183.0,0.37,Low
253.0,67.0,532.0,6.52,399.0,0.42,Medium
220.0,143.0,200.0,7.27,395.0,0.48,Low
247.0,199.0,387.0,0.01,746.0,0.19,Medium
249.0,126.0,255.0,9.37,553.0,0.14,Low
215.0,175.0,746.0,1.65,380.0,0.71,Medium
273.0,171.0,311.0,2.34,158.0,0.58,Medium
84.0,187.0,997.0,2.63,441.0,0.5,Medium
108.0,164.0,509.0,0.38,564.0,0.67,Low
244.0,77.0,235.0,1.23,441.0,0.84,Low
215.0,60.0,638.0,9.86,709.0,0.48,Low
224.0,96.0,928.0,3.15,161.0,0.68,Medium
296.0,176.0,791.0,1.15,724.0,0.96,High
211.0,196.0,794.0,1.07,528.0,0.86,High
149.0,167.0,776.0,7.19,757.0,0.48,Medium
331.0,126.0,524.0,8.55,355.0,0.68,Medium
261.0,175.0,839.0,2.57,446.0,0.26,High
246.0,121.0,506.0,0.21,625.0,0.6,Medium
170.0,156.0,733.0,2.23,403.0,0.98,Medium
281.0,186.0,927.0,0.57,714.0,0.57,High
98.0,82.0,818.0,1.03,344.0,0.93,Low
118.0,68.0,308.0,4.32,511.0,0.47,Low
252.0,147.0,556.0,5.16,615.0,0.62,Medium
220.0,190.0,380.0,2.53,573.0,0.14,Medium
321.0,178.0,555.0,9.41,135.0,0.63,Medium
299.0,142.0,875.0,9.06,277.0,0.35,High
205.0,97.0,267.0,5.67,486.0,0.13,Low
137.0,126.0,491.0,3.54,116.0,0.84,Low
227.0,110.0,891.0,3.81,147.0,0.35,Medium
80.0,88.0,380.0,4.12,161.0,0.82,Low
269.0,177.0,665.0,7.28,168.0,0.36,Medium
270.0,137.0,633.0,4.52,758.0,0.27,Medium
196.0,75.0,663.0,8.57,465.0,0.98,Low
213.0,66.0,880.0,9.44,261.0,0.43,Medium
137.0,120.0,733.0,3.36,587.0,0.64,Medium
123.0,62.0,265.0,5.61,530.0,0.65,Low
252.0,118.0,220.0,0.95,588.0,0.6,Medium
239.0,75.0,811.0,2.0,329.0,0.92,Medium
252.0,98.0,583.0,4.13,469.0,0.71,Medium
228.0,56.0,814.0,2.06,277.0,0.46,Medium
215.0,107.0,758.0,8.77,509.0,0.88,Low
292.0,98.0,238.0,1.58,667.0,0.26,Medium
282.0,152.0,484.0,4.56,689.0,0.59,Medium
331.0,102.0,801.0,6.06,369.0,0.96,High
243.0,66.0,984.0,3.83,181.0,0.84,Medium
306.0,74.0,535.0,8.69,292.0,0.69,Medium
226.0,180.0,609.0,5.68,717.0,0.86,Medium
99.0,78.0,870.0,4.4,288.0,0.95,Low
126.0,166.0,442.0,0.67,375.0,0.35,Low
312.0,75.0,272.0,4.65,173.0,0.25,Medium
93.0,173.0,678.0,8.21,109.0,0.54,Low
222.0,126.0,760.0,6.15,734.0,0.73,Medium
80.0,74.0,300.0,8.32,315.0,0.3,Low
133.0,103.0,713.0,4.94,389.0,0.1,Low
338.0,122.0,955.0,1.18,544.0,0.41,High
223.0,169.0,375.0,0.14,651.0,0.97,Medium
91.0,105.0,437.0,3.03,292.0,0.73,Low
303.0,114.0,258.0,6.98,738.0,0.46,Medium
235.0,142.0,298.0,7.9,388.0,0.27,Low
215.0,135.0,694.0,2.96,682.0,0.42,Low
201.0,129.0,713.0,4.71,748.0,0.25,Medium
243.0,157.0,954.0,4.21,243.0,0.2,High
169.0,167.0,496.0,4.11,488.0,0.92,Medium
215.0,132.0,410.0,2.31,506.0,1.0,Medium
265.0,196.0,322.0,1.36,469.0,0.25,Medium
257.0,64.0,428.0,1.97,540.0,0.15,Medium
107.0,180.0,793.0,0.55,750.0,0.4,Medium
299.0,188.0,855.0,1.98,663.0,0.52,High
120.0,79.0,587.0,0.09,628.0,0.28,Low
307.0,106.0,339.0,6.27,776.0,0.37,Medium
271.0,195.0,740.0,3.16,112.0,0.28,High
224.0,177.0,590.0,9.73,439.0,0.8,Medium
