GSM,ThreadDensity,TensileStrength,Shrinkage,AirPermeability,Thickness,Quality
133,160,718,0.89,762,0.14,Medium
199,83,336,1.03,335,0.64,Low
240,160,887,5.85,302,0.92,Medium
195,57,697,6.88,355,0.31,Low
154,162,926,3.97,697,0.52,Medium
192,132,676,4.8,761,0.51,Medium
183,91,793,6.86,334,0.53,Medium
333,150,422,0.17,444,0.66,High
306,55,571,3.23,633,0.52,Medium
191,75,601,9.73,565,0.5,Low
178,113,642,5.8,640,0.53,Medium
232,108,689,2.54,312,0.63,Medium
273,158,814,5.22,562,0.58,High
242,170,472,3.43,535,0.87,Medium
287,82,725,5.32,382,0.14,Medium
248,199,358,1.26,661,0.85,Medium
240,70,351,1.33,706,0.86,Low
147,119,819,1.44,562,0.36,Medium
214,161,387,9.4,506,0.52,Low
274,53,297,7.33,187,0.49,Low
207,143,330,1.62,143,0.3,Medium
112,124,370,1.88,560,0.46,Low
255,111,382,7.31,377,0.14,Low
101,143,563,1.56,782,0.35,Low
317,144,238,2.35,520,0.84,Medium
237,104,726,9.63,452,0.36,Medium
117,186,696,2.55,795,0.84,Medium
309,180,715,6.62,614,0.58,High
130,80,548,9.79,729,0.89,Low
343,89,596,3.74,118,0.62,Medium
106,85,921,0.18,122,0.13,Medium
305,55,360,2.44,512,0.71,Medium
176,115,215,8.31,129,0.14,Low
226,124,692,8.65,207,0.51,Medium
83,53,625,7.69,466,0.94,Low
114,128,307,1.13,380,0.25,Low
271,183,649,7.96,227,0.45,Medium
128,167,510,9.19,328,0.76,Low
96,162,938,6.01,210,0.89,Medium
251,143,369,9.41,235,0.7,Low
299,111,745,8.27,461,0.33,Medium
237,128,613,6.67,285,0.71,Medium
125,185,450,5.77,755,0.37,Low
85,75,958,3.49,683,0.75,Low
178,93,980,1.59,228,0.96,Medium
312,182,340,6.05,360,0.75,Medium
116,119,473,3.18,614,0.88,Low
260,167,615,8.66,548,0.1,Medium
174,117,807,9.93,203,0.75,Medium
178,68,938,7.52,582,0.85,Medium
267,69,238,0.9,323,0.14,Low
195,162,228,2.89,590,0.88,Low
270,189,676,1.09,572,0.33,High
332,96,517,6.51,109,0.7,Medium
240,50,444,7.65,504,0.82,Low
335,139,947,9.26,401,0.7,High
207,191,896,4.38,330,0.18,High
97,113,471,9.01,165,0.64,Low
302,87,639,8.78,211,0.59,Medium
133,86,947,3.17,112,0.91,Medium
137,175,438,8.69,492,0.46,Low
253,188,576,3.76,599,0.39,Medium
193,149,465,2.97,697,0.77,Medium
230,126,558,6.49,333,0.47,Medium
206,52,539,3.28,701,0.68,Low
234,183,588,6.3,413,0.68,Medium
183,59,776,6.1,665,0.9,Low
325,54,888,5.63,111,0.64,Medium
255,187,202,3.8,308,0.55,Medium
118,179,628,5.48,113,0.22,Low
249,62,341,5.96,732,0.2,Low
326,179,575,5.46,517,0.24,High
105,133,869,4.44,536,0.25,Medium
92,114,523,0.15,476,0.67,Low
115,112,345,5.87,119,0.77,Low
252,150,492,1.68,686,0.58,Medium
99,122,864,6.43,169,0.85,Low
343,66,631,7.59,310,0.99,Medium
221,58,904,5.0,200,0.84,Medium
222,192,784,5.42,797,0.73,Medium
171,87,598,9.51,231,0.58,Low
294,143,543,8.47,722,0.5,Medium
130,144,339,9.14,480,0.18,Low
232,98,386,8.14,231,0.46,Low
265,118,260,1.09,119,0.92,Medium
142,111,579,1.49,635,0.83,Low
269,127,909,5.27,326,0.29,High
204,166,639,2.46,253,0.52,Medium
229,169,518,4.77,568,0.84,Medium
137,186,501,3.94,504,0.16,Medium
259,125,543,5.49,301,0.45,Medium
249,84,210,7.47,137,0.87,Low
133,50,261,7.15,287,0.46,Low
180,89,425,5.21,156,0.17,Low
343,113,352,8.22,119,0.59,Medium
132,199,910,4.31,372,0.88,Medium
139,109,763,8.97,218,0.63,Low
187,113,971,0.71,682,0.3,Medium
84,142,770,9.55,615,0.45,Low
182,121,783,6.55,320,0.51,Medium
275,60,859,3.8,625,0.62,Medium
341,154,774,1.97,614,0.78,High
126,63,509,4.79,435,0.19,Low
223,109,442,1.95,797,0.9,Medium
348,79,692,1.66,154,0.11,High
203,84,565,6.17,599,0.43,Low
185,54,529,5.23,635,0.12,Low
237,132,306,6.7,261,0.45,Low
226,172,425,9.3,769,0.57,Medium
224,127,417,5.32,693,0.56,Medium
199,111,952,5.81,258,0.25,Medium
171,181,705,0.9,287,0.68,Medium
137,138,458,7.18,159,0.14,Low
308,91,973,4.0,418,0.79,High
196,138,716,9.77,310,0.95,Medium
206,195,972,8.23,505,0.41,Medium
208,89,253,5.22,763,0.57,Low
137,121,246,1.23,208,0.44,Low
201,88,926,8.59,175,0.11,Medium
80,153,888,8.0,641,0.45,Low
318,63,720,1.85,413,0.81,Medium
175,81,298,2.95,216,0.64,Low
205,174,219,7.93,118,0.19,Low
197,146,952,1.85,531,0.86,Medium
127,72,772,9.18,784,0.58,Low
168,112,689,4.25,449,0.86,Medium
316,192,618,0.87,282,0.62,High
268,194,889,8.16,212,0.6,High
271,102,261,3.74,282,0.19,Medium
148,153,344,5.26,580,0.25,Low
326,153,415,1.12,245,0.97,Medium
155,88,202,0.03,727,0.31,Low
233,183,359,6.38,212,0.98,Medium
223,116,938,5.15,575,0.58,Medium
165,184,980,5.94,402,0.22,Medium
264,91,319,7.94,217,0.19,Low
299,64,288,6.47,260,0.29,Low
148,160,528,1.75,500,0.93,Medium
126,82,779,3.61,297,0.47,Low
173,87,556,9.06,359,0.46,Low
317,146,809,7.7,759,0.38,High
283,82,466,5.57,146,0.23,Medium
297,135,816,2.56,498,0.54,High
118,115,522,3.02,658,0.22,Low
179,59,834,7.32,177,0.85,Low
333,54,740,8.51,223,0.43,Medium
301,172,848,6.71,174,0.44,High
102,123,394,8.1,236,0.53,Low
329,146,937,7.67,701,0.5,High
89,167,531,1.5,499,1.0,Low
325,87,369,4.24,604,0.59,Medium
179,190,720,1.53,599,0.18,Medium
259,96,662,2.35,672,0.65,Medium
302,158,239,8.69,237,0.24,Medium
329,64,736,4.73,149,0.13,Medium
226,185,460,5.35,718,0.97,Medium
175,54,594,1.78,724,0.8,Low
336,96,425,3.12,353,0.98,Medium
83,117,323,2.3,729,0.53,Low
95,125,237,2.06,662,0.58,Low
326,179,527,6.38,525,0.25,Medium
337,144,450,2.57,646,0.32,Medium
239,164,375,6.32,401,0.85,Medium
231,85,801,0.58,680,0.42,Medium
257,75,653,1.42,448,0.84,Medium
242,92,236,2.75,148,0.74,Low
112,76,515,5.97,173,0.26,Low
258,118,887,6.76,360,0.56,Medium
180,197,995,4.43,455,0.71,High
347,60,792,4.46,681,0.31,Medium
144,123,313,7.25,701,0.85,Low
247,153,239,0.16,359,0.59,Medium
122,87,500,3.41,737,0.25,Low
123,183,423,8.19,394,0.62,Low
91,72,517,6.03,740,1.0,Low
174,96,548,3.37,412,0.24,Low
332,139,314,9.06,711,0.84,Medium
321,95,897,7.73,281,0.29,High
114,156,522,2.65,785,0.8,Low
294,189,767,6.45,463,0.76,High
169,190,239,5.96,287,0.37,Low
343,153,239,4.01,668,0.39,Medium
172,160,948,3.67,642,0.81,Medium
169,153,488,3.44,695,0.52,Medium
194,109,461,6.17,763,0.76,Low
184,149,415,4.42,647,0.23,Low
275,117,346,8.32,507,0.87,Medium
193,182,535,6.7,717,0.74,Medium
154,169,367,0.7,513,0.92,Low
296,86,291,6.4,441,0.22,Low
328,121,552,2.71,319,0.63,Medium
243,176,770,5.93,262,0.64,Medium
271,155,770,6.8,319,0.42,Medium
306,141,880,2.31,369,0.51,High
256,80,980,4.57,731,0.13,Medium
178,171,562,1.9,499,0.77,Medium
115,186,756,0.52,281,0.59,Medium
175,100,544,3.78,717,0.15,Low
231,78,892,3.63,304,0.71,Medium
230,89,369,9.95,681,0.52,Low
269,90,555,4.46,655,0.13,Medium
303,60,390,3.34,327,0.97,Medium
116,50,866,5.8,795,0.95,Low
347,95,621,0.89,718,0.56,High
262,150,899,9.62,695,0.18,Medium
92,198,206,6.35,349,0.78,Low
296,139,332,7.55,540,0.54,Medium
141,159,946,1.7,632,0.37,Medium
163,106,756,4.09,295,0.54,Medium
296,50,960,4.23,789,0.57,Medium
266,112,230,8.22,618,0.61,Low
98,104,734,0.01,169,0.5,Low
256,164,625,3.01,738,0.65,Medium
179,192,593,9.81,498,0.93,Medium
312,198,871,4.75,771,0.43,High
155,102,562,3.83,302,0.75,Low
344,186,636,1.2,247,0.91,High
285,106,869,9.74,571,0.51,Medium
302,166,750,0.2,754,0.5,High
131,84,281,7.37,298,0.64,Low
223,112,555,7.69,525,0.63,Medium
148,74,457,2.44,765,0.83,Low
178,139,917,6.72,591,0.53,Medium
104,124,788,0.93,241,1.0,Medium
132,87,723,2.57,412,0.15,Low
230,179,494,7.88,264,0.1,Medium
223,184,423,8.65,413,0.68,Medium
136,140,724,6.08,120,0.37,Medium
118,66,245,5.07,181,0.32,Low
188,177,866,1.59,680,0.38,Medium
260,157,312,0.63,230,0.33,Medium
121,74,432,1.18,698,0.13,Low
265,137,216,2.27,404,0.97,Medium
302,78,559,3.42,470,0.3,Medium
201,112,422,3.81,483,0.76,Low
212,199,899,3.46,544,0.79,High
242,163,647,2.39,524,0.94,Medium
294,98,564,5.1,260,0.13,Medium
300,130,874,8.25,277,0.88,High
314,133,525,2.8,728,0.57,Medium
225,154,666,9.42,589,0.67,Medium
318,197,613,8.73,426,0.68,High
155,167,654,1.62,697,0.84,Medium
88,135,785,7.86,388,0.4,Low
153,112,432,5.75,692,0.76,Low
332,153,423,5.67,763,0.58,Medium
309,98,611,3.91,672,0.81,Medium
86,120,771,5.01,672,0.99,Low
253,50,534,3.97,453,0.28,Medium
220,190,421,5.4,127,1.0,Medium
247,172,236,6.28,142,0.18,Medium
249,111,477,6.74,780,0.1,Medium
201,81,395,5.32,522,0.14,Low
273,78,683,7.21,697,0.41,Medium
84,98,441,1.41,276,0.67,Low
108,79,523,2.12,628,0.16,Low
244,193,930,8.19,709,0.11,High
215,68,391,3.23,593,0.94,Low
224,67,216,0.23,297,0.84,Low
296,50,723,1.54,709,0.83,Medium
211,127,600,2.24,676,0.9,Medium
149,164,904,9.57,616,0.73,Medium
331,162,221,5.73,613,0.19,Medium
261,163,673,9.33,121,0.46,Medium
246,112,319,5.75,211,0.75,Low
170,181,409,4.79,156,0.35,Medium
281,178,505,3.14,165,0.72,Medium
98,57,469,6.06,197,0.12,Low
118,104,903,1.39,243,0.38,Medium
205,152,886,8.98,534,0.59,Medium
252,180,484,8.29,736,0.67,Medium
220,81,915,3.18,778,0.62,Medium
321,59,875,9.53,185,0.73,Medium
299,159,962,8.25,687,0.11,High
205,173,426,6.66,443,0.19,Medium
137,136,580,1.22,393,0.88,Medium
227,104,659,4.78,670,0.71,Medium
80,81,206,5.06,749,0.2,Low
269,184,228,2.33,710,0.86,Medium
270,142,232,0.8,342,0.32,Medium
196,57,845,7.77,660,0.53,Medium
213,114,278,1.22,131,0.23,Low
137,106,658,5.94,490,0.74,Low
123,116,769,9.36,376,0.7,Low
252,121,737,8.76,631,0.29,Medium
239,103,681,2.78,253,0.88,Medium
252,116,629,8.51,482,0.46,Medium
228,100,937,0.0,167,0.36,Medium
159,146,484,0.18,313,0.24,Medium
292,141,715,6.03,754,0.34,Medium
282,57,298,3.65,475,0.12,Low
331,84,596,3.86,312,0.62,Medium
